"820842351572713473": "['want another blunt', '1']",
"483586805829103617": "['#SNEAKINNGEEKIN /@J_AdoreTanna: Oxycodone is tricky!! Sometimes it knocks me OUT , then nights like this I\'m UP but moving in slomo 😩 nooo', '0']",
"820562408276041729": "['Hey Zack pass the weed you druggy', '1']",
"819019810864529408": "['Lets go smoke weed about it', '1']",
"821236456798744576": "['DOPE MAN .', '0']",
"816209206466543616": "['@Fuckind0pe having a roommate as dope as Kayla is cool', '0']",
"503998059286495232": "['I can already tell I'm going to need a big baggy of adderall to stay awake during school', '0']",
"825073679352549376": "['Took my son there on Wednesday, hella dope https://t.co/ygXEej1pUY', '0']",
"493427966735433728": "['imagine being on oxycodone and trying to help twenty small children make kaleidoscopes and there aren't enough parts for everyone in the kit', '0']",
"469144747173351424": "['Everytime I take my seroquel I have nightmares. Like insanely vivid nightmares. 😰😔', '0']",
"818119967262568449": "['I need a blunt for this one.', '1']",
"823382813185572865": "['Going to the Super Bowl biatches.  Bring it the f--k on.', '0']",
"820552518497280000": "['@BekaHerrera y'all were dope tonight!', '0']",
"532534400676675584": "['What I wouldn't give for the day off tomorrow and a seroquel right now', '0']",
"823620643484762113": "['These are actually dope https://t.co/iPJ3I1RXWJ', '0']",
"532738635469447168": "['the best part of my surgery was the Oxycodone and Vicodin', '0']",
"826506125814165506": "['@ep365_eric @gabriella_akat @larryelder Need a weed whacker.', '0']",
"497994280242528256": "['I know Adderall is going to help me a lot this year', '0']",
"541866635964203009": "['Adderall will make you check twitter 20 plus times in a matter of minutes fr fr', '0']",
"344351386542174208": "['okay i took the seroquel and i am resisting the urge to vomit it up i feel disgusting but oH WELL GOOD TIMES GOOD VIBES DON'T BE SAD', '0']",
"815658344891424769": "['put a blunt in rotation ' cause me and bruh be going thru the same shit 💯', '1']",
"536373413510905856": "['oxycodone is heaven literally I feel like Im in heaven tho i doubt that the heaven stays still and not spin around', '0']",
"821620010128994304": "['i just hit the blunt https://t.co/VixWTxR4uM', '1']",
"826262288399265793": "['Isaiah Rashad concert was dope but maaaad short', '0']",
"816725765848870917": "['Do you know the dope man ?', '1']",
"522487271703216128": "['The results to my study addressing whether or not Adderall works on all individuals can be summarized below: \n\nIs it Wednesday or Thursday?', '0']",
"817616037319278593": "['@Kylo_Bren its dope. Mad props.', '0']",
"818214285465653248": "['Ate a bag of weed', '1']",
"824296127327506433": "['Sitting in the back of class is perfect for rolling dope', '1']",
"466443993023528962": "['Xanax and adderall are the only things that make working barable', '0']",
"514532057167314944": "['So did Contracts Law. RT @AdderallHadMe: Adderall had me reading the terms and conditions', '0']",
"818523901126995971": "['All cause she rolled my weed', '1']",
"487238035956707328": "['You know you're fucked when Oxycodone doesn't work anymore. *throws box at wall*', '0']",
"498809901586464768": "['back pain/, Adderall to stay focused, Xanax to take the edge off, pot to mellow me out, cocaine to wake me back up again, and morphine...', '0']",
"821016619916918784": "['lastnight was dope https://t.co/DXkktoxyRp', '0']",
"820971165569155072": "['Weed make it better', '1']",
"499996640795971584": "['@NiggerLady_ I was on Demerol when I had my IV now I'm getting 2 oxycodone pills', '0']",
"496455453283733506": "['That's really sad that my body rejects T3 like that shit don't even work for me nomore 😂 gotta move on to Oxycodone lol I'm boutta b a pusha', '0']",
"819098237344698368": "['@linda_ralosky Hope u die by acid rain Love u homie', '0']",
"823255223078711297": "['Why did the Oak tree have to eat his ice cream out of a bowl??', '0']",
"819574162247348224": "['Imagine smoking weed in space ...', '0']",
"484829866890514433": "['A Salem Mom who we all knew just announced her 20 yr old son's cause of death on FB. Elevated levels of ethanol &amp; oxycodone So heartbreaking', '1']",
"464266782618828800": "['@JessHope05 sounds like grandma needs to be started on some seroquel', '0']",
"825438417160921089": "['Love being off on sunny days it's just getting smacked &amp; a litt day!!', '0']",
"816502871264993280": "['This fog is dope. 🔮', '0']",
"817459201463095297": "['these are so dope wtf https://t.co/MWLHyjyMIx', '0']",
"487853554380853248": "['Well apparently oxycodone makes me a nicer person... #postoperation', '0']",
"825237770113277952": "['Up smoking dope !! Who up with me', '1']",
"820051048438136832": "['My guess is acid or shrooms https://t.co/jcRMHAKd3Y', '0']",
"529474262164590592": "['meth pcp phenobarbital mdma oxycodone heroin what was today', '0']",
"508693237029433346": "['I railed an adderall off the bathroom floor, so I\'m good', '0']",
"525606344154701824": "['i feel like Im on adderall and its fucking pissing me off, man.', '0']",
"539854963292512256": "['All I want for Christmas is a stocking full of Adderall', '0']",
"819750111471431681": "['I want to smoke a fucking blunt', '1']",
"541998263256485890": "['finals week tip: make sure u poop, pee, and eat tums before u take adderall to study; all of which will help u retain the drug in ur body', '1']",
"454591952608952320": "['@JonesTarika Seroquel is bad shit. They put me on that in hospital. You know the basic first line lithium and Seroquel. (Rolls eyes)', '0']",
"822865187426406400": "['Am I too old to start smoking weed?', '0']",
"824789569979678721": "['Ready to end my days smoking a blunt w/ the loml', '1']",
"528058974214828033": "['Took that Seroquel an hour ago and still not sleepy &gt;:(', '0']",
"496158524930801666": "['I need money so when I turn 18 I'll starting snorting oxycodone so I'll qualify for studies at quintiles.', '1']",
"489299316645715968": "['Being stoned &gt; being drunk &gt; being fucked up on adderall &gt; sobriety', '1']",
"826459145750642688": "['in class wanting a blunt 😭', '1']",
"824101424149757952": "['I need to smoke a black', '1']",
"462916147176681473": "['Taking my Seroquel with a latte, because that shit is like trying to hold back a tsunami with a knife &amp; fork. #badass', '0']",
"349450662192488450": "['@stfumisogynists I wish my mind was that creative! Not to mention I hope Quetiapine isn't associated with death scrawl given the popularity.', '0']",
"815725734371217409": "['wanna live in a glass house on a mountain &amp; drink super dirty martinis all day with a few dope huskies that love pulling me around on a sled', '0']",
"826149752098091009": "['Sometimes they smoke weed', '1']",
"490540355516104705": "['Even though max took his adderall he hasn't stopped talking since I walked in the door.', '0']",
"826091443101933569": "['The pot hole that took me down last night '. https://t.co/HYiCPqXWpo', '0']",
"817298756693610496": "['Blowin dope', '1']",
"494554205190115329": "['I'm running on adderall and red bull today, fuck finals', '1']",
"481879415111299072": "['@BipolarBlogger I've just started Quetiapine after an extreme psychotic episode. Wary as my lows are worsening with it.#Bipolar #depression', '0']",
"820384634437533697": "['@bnastythegod i never need weed', '1']",
"819303535254769665": "['Need a blunt', '1']",
"460988650881183744": "['I almost just shit my pants, and I\'m pretty sure my adderall has piss all over it/ -unknown', '0']",
"821087640615161856": "['Black coffeee and Orange juice everyday for breakfast', '0']",
"499654447010566144": "['Another:\n\n/takes Trileptal, Clonodine and Seroquel but none of them for depression or mood. He takes prozac and that seems to work best', '0']",
"511414906017820672": "['I have class tomorrow &amp; I haven't slept.... Good thing I bought caffeine pills ✊ but seriouslyyy thinking about buying Adderall 😅 Lmao', '1']",
"822207081918984194": "['Batman dope you know. https://t.co/TjsJT1Pnnv', '0']",
"816656400759877632": "['@HushUpSamy dope I'll text you!!', '0']",
"823037131211816960": "['@POTUS legalize weed bro', '0']",
"498482231523176448": "['My grandpa: /I think it\'s time for me to take another pill, it\'s oxycodone so if act strange you\'ll know why', '0']",
"536255386379366400": "['@katrinayellow take some seroquel and tmrw is a new day. That's the way I've always looked at it.', '0']",
"460440157343076354": "['last night i asked my boss how she wasnt tired and she says um adderall or coke pick ur poison hahahaha', '1']",
"492396913354743808": "['well the oxycodone kicked in so i'm feeling way better nooooowwwwwww.', '0']",
"534156541025599489": "['My dad gave me an oxycodone for my tooth and I didn't even know till I started feeling 🌀 lol', '0']",
"483594732241567744": "['I wouldn't be surprised if a lot of idols take adderall tbh looking at their schedules.', '0']",
"818006043322155008": "['I really wanna try acid and shrooms', '0']",
"488743810562662401": "['@kerfluffer yeah, Canada's generic controlled-release oxycodone is in high demand south of the border.', '0']",
"534259761940680704": "['Lash out sponsored by adderall and co sponsored by alcohol', '0']",
"817699248871346176": "['Barbs &gt; neighbors tho', '0']",
"826096225803976706": "['@BaseballDo @The_Yodacat nicotine? I figured he was smoking that weed.', '1']",
"820720474657345537": "['@_jhahn12 dope. I love my pair.', '0']",
"821299605279272960": "['@DewRagDickSalsa I think it looks dope as is ( creepy)', '0']",
"826308369438879744": "['I think i might stop smoking weed...', '1']",
"818631003015024640": "['I need a good blunt....', '1']",
"480415037937315840": "['I wonder if my moms gonna let me drive while I'm under the influence of Oxycodone 😎', '0']",
"485393944310984704": "['15mg of oxycodone didn't do shit, now I can't sleep -_- and got work in 3 hours', '0']",
"466796020613935104": "['I've never needed my adderall more than I do rn! I can't focus on just one thing &amp; it's driving me NUCKING FUTS!', '0']",
"454245381745156096": "['Homies out here stealing my adderall behind my back and shit. Get the fuck out here with that shit better not find your fugazy ass', '1']",
"519772219778404354": "['Oxycodone may be more dangerous than other addictive pain medication: While all prescription opioids can be abused…', '0']",
"817917473240608769": "['@jadadyan done got me hooked on greys🤔', '0']",
"826145298091274240": "['I just wanna listen to erykah badu and smoke some of this blunt', '1']",
"818988097539100672": "['There really is weed fiends out here', '0']",
"824786294337200128": "['I need weed and a blowjob.', '1']",
"494505252792451072": "['@Womenspeakup @afaduln2 @MtnMD @Walgreens Since 2009 Walgreens Jupiter Fl. store has been the single largest distributor of oxycodone in FL.', '0']",
"496857401367089154": "['Lock us up for weed when we dying from alcohol.. Cigarettes, Xanax, Ex and adderall .... What happened y'all?', '1']",
"525370353921818624": "['Adderall has me texting you a 5 paragraph paper with MLA formatting and in-text citations..', '0']",
"525494424542117888": "['Oxycodone is no joke .. But neither is this back pain 😩😩😩😢😢😢', '0']",
"822720938160570368": "['Joint or blunt??', '1']",
"823734936645484548": "['To fucken dope https://t.co/igC9QOjRRP', '0']",
"825893343573991424": "['Should I smoke a blunt or nah', '1']",
"825073008649789440": "['@hdrewblackburn Her parts are dope. The hook is trash.', '0']",
"816341125384454145": "['@karla_angelique dope! Sounds like a plizzannnn', '0']",
"475578550079479808": "['@drinksinthedark lamotrigine is fine but not sure how effective. changed from quetiapine because I put on 2 stone in 2 months!', '0']",
"826314130537738240": "['Finna get off this dope and go to sleep', '1']",
"531031620061773824": "['Oxycodone does help my pain &amp; I can space the 4 tablets thru the day. But if I miss a dose I start feeling... Weird. Restless. Twitchy. Ugh.', '0']",
"474743957998796800": "['Hope they're not just taking them if they're not bipolar 😳 lol RT @HeyBandana: Can't see how people can function off Seroquel', '0']",
"489153948524097536": "['SKPO*NT Oxycontin (brand)\nSKPO*END oxycodone (generic)\n\n#steno #ebriefs #stenobriefs #courtreporting #stenography', '0']",
"819826025471217665": "['@teesaucy that's down to go to dope spots', '0']",
"480692177035866113": "['Voluntarily walked 7km 'for fun' That wouldn't have happened on old quetiapine dose! #ComingOffMeds', '0']",
"822867169428049920": "['Ok rain stopped dope', '0']",
"483427153250246657": "['Laughter is the best medicine/ FALSE oxycodone plus a pint of fro yo and crying til you\'re dehydrated and shaking is the best medicine', '0']",
"815482401870618624": "['I WANT SUM WEED', '1']",
"540990577014472704": "['I've had a sweaty-ball-sucking day! \n\nThere are way to many dick-weasels in the world and now I have to break out my oxycodone &amp; Sam Adams!', '1']",
"458284552667295744": "['@camahta_merah anti-psychotic look up seroquel thats what i was on ive never done heavy drugs but it felt like that', '0']",
"817897552360177664": "['Blowing that dope 🤤 https://t.co/6GdopVtRfS', '1']",
"825200252638547968": "['Dope/ is a good movie.', '0']",
"815477459877404672": "['Almost died because of black ice while driving lol', '0']",
"825011697584918528": "['if i had all the money i spent on weed&gt;&gt;', '1']",
"497069142298882048": "['I never knew adderall was a drug until this year , so now every time a doctor asks me if I'm on drugs I say yeah and my mom starts laughing', '0']",
"535592477148082176": "['My doctor prescribed me hypercodone. That's not like oxycodone is it? 😅😐', '0']",
"527248857693159424": "['As soon as I take adderall my bladder shrinks to the size of a peanut', '0']",
"510113390799650816": "['“@fxkmo: Oxycodone &amp; Promethazine about to give me life. My mouth is throbbing.” more videos or ?', '0']",
"817198560890392577": "['Tonight should be Dope👌', '0']",
"817978588070903810": "['Floetry was dope too', '0']",
"821802942466560002": "['Go to the gym or smoke this blunt?', '1']",
"818273860604821504": "['@Sosa_N_Mimosas it's gonna be dope man', '0']",
"821044333352775680": "['@districtofash we can only hope it’s acid rain', '0']",
"822644364027527168": "['I will never be as dope as my mom', '0']",
"819571254357323777": "['I just want to create dope shit', '0']",
"816008193147043840": "['PINEAPPLE ON PIZZA IS DANK', '0']",
"816736388045557770": "['@MissAmerika_22 you tried it? Did you smack'em?', '0']",
"819353266937008129": "['like when you water bong your blunt and are so heightened in your motions that you are ecstatic but you can't move you are just so relaxed', '1']",
"823202230350319618": "['I should start being more blunt', '0']",
"816879841349869568": "['without you X spooky black', '0']",
"526482594544635904": "['my mom just threw away her Oxycodone from when she was sick, but now it's mine.😏😏', '1']",
"824446997532987392": "['Soo blunt', '0']",
"499243814213926913": "['@agraceoflove \nPercocet is oxycodone and acetaminophen.\nso something like tylenol and poppy-seed muffins might do it..\nmaybe.', '0']",
"512357220617437184": "['30mg of adderall + 2 cups of coffee and I can still take a nap..... Wtf is wrong with me', '0']",
"823308939563507713": "['cod 4 its dope.', '0']",
"533333729180389376": "['i took extra seroquel this morning because i want to nap WHY AM I NOT KNOCKED OUT', '1']",
"509504675377586176": "['If I posted a pic me &amp; my happy mistake it would be me &amp; a bottle of oxycodone', '0']",
"461520571516194817": "['Adderall had me writing a 10 page paper for a sentence answer.', '0']",
"502790578237485058": "['I think I'm just not going to sleep tonight man I'll go get myself some coffee and adderall 😩😩💯💯🆗🆒', '0']",
"506431123686445056": "['this oxycodone pill is about to put me straight to sleep🙌', '0']",
"822597146667061248": "['Split looks hella dope', '0']",
"500513826845229057": "['@AdderallHadMe adderall had me LOOKING for work to do today at work. Finished my tickets and was looking for more shit to do!', '0']",
"825855715726225408": "['Much needed blunt!', '1']",
"534054202562318336": "['@webgoobies @MarkVodka360 @BW oxycodone is dirt cheap but cholesterol/ gerd drugs $400+++/month...criminal. absolutely criminal.', '0']",
"816141394880458753": "['Sled riding is so dope', '0']",
"454358485291905024": "['Popped an Adderall I'm……. Still still as distracted as a jellyfish #ADHDprobs', '0']",
"510071651456024576": "['Pretty sure the warning on the side of Oxycodone pills say /Use Care Do Not Tweet/ #paulgeorge', '0']",
"359853195847151616": "['@KyleTuite when i first started taking seroquel i was unable to read after 45 minutes or so, but otherwise just groggy', '0']",
"823019822904655872": "['Acid in the winter is a no go', '1']",
"822623444684705794": "['@zachhaller YOU WEED LOVER?', '0']",
"825752194758610952": "['Bout to roll this blunt', '1']",
"825495048250761216": "['I hate how I have weed and I can't even smoke', '1']",
"817640599981531136": "['@MarkisGarchiya *snorts blunt*', '1']",
"512243081664819200": "['the doctors just gave me oxycodone i dont like drugs', '0']",
"816064033191301120": "['@Futurato that looks dope as fuck', '0']",
"818685481340768256": "['Bama just got smacked in the mouth.', '0']",
"823231008216494080": "['Blunt in the rain', '1']",
"532065767832162304": "['This is what a lot of oxycodone does to you ladies and gentleman 😂😭 http://t.co/roofmCT0zJ', '0']",
"494313959546032129": "['Yeah my grandma talks about me and kevin selling oxycodone at the schools. So awesome.', '1']",
"826611416400543744": "['in the mood to take a lot of acid', '1']",
"463685371977801728": "['if adderall wasnt available, I'd say more than half of college students wudnt pass finals', '0']",
"522899877324685314": "['Burned the fuck out my hand earlier today and the oxycodone the doctor prescribed me has had me boxing my sleep all day 😩', '0']",
"524019932111978496": "['Ahh brad got me. Damn I let a bitch get me. Damn I let bitch ass brad get me. Damn I let goofy adderall drugged bitch ass brad get me', '0']",
"485977651241578496": "['Knowing how dumb 20 year olds can be Johnny is probably snorting his prescribed Adderall and chasing it down with a red bull and vodka.', '0']",
"824128956861399041": "['without weed idk what id do', '1']",
"816146050780172288": "['Wanna smoke this blunt', '1']",
"825100453339762688": "['Vegas is dope af', '0']",
"820410381642428416": "['We just got smacked...', '0']",
"500013317818040320": "['Recovering from surgery. Oxycodone and pinot noir. Lovely!', '0']",
"820016843138142209": "['I need a drink &amp; some weed.', '1']",
"449043984984203265": "['after this imma take enough seroquel to put me out until saturday. I'd rather dream about bullshit then live in it.', '0']",
"820120818977935360": "['She's pretty dope. Definitely miss her and the seniors https://t.co/M1I7l8LZSE', '0']",
"528010688024035328": "['My god I've never been so distracted in my life!!! Were the adDerall at?', '0']",
"825037537076994048": "['Honestly just wanna know if I have to take this drug test so I can get it over with and smoke a blunt', '1']",
"822075746709426176": "['@gaines2u studio time in a syllabus? Well that's dope🤙🏼', '0']",
"454724782391840768": "['Soo adderall just made me pass out..there is a very high possibility I have ADHD', '0']",
"818680111637598208": "['I need pretty shaved pussy like a crack head needs to take a hit like h heroin addict needs to pump heroin  their vein's or I get sick', '1']",
"493245183736025090": "['Took 3 seroquel so I'm pretty much going to pass out for a solid 12-14 hours pretty soon.', '0']",
"489908395852316672": "['Adderall had that Niggah Ellis Burning out lastnight!!😂😂😭🚗💨', '0']",
"817234391055396864": "['Rezz was so dope', '0']",
"815657266053529600": "['Marijuana bought me everything', '1']",
"819059557523685376": "['Is school really worth it… *hits blunt*', '1']",
"455007211941425153": "['I'm really happy that panadeine forte exists I feel a bit weightless and sleepy it's nice. Not even taken my seroquel yet lmao', '0']",
"540651675535806464": "['Haloti ngata should spot me some of his adderall so I can finish this term paper before 4am', '1']",
"480805250446934016": "['@SebsTau Tsa mo robala. Span kaosane. Doesn't Seroquel make you dizzy with sleep?', '0']",
"818928210909995009": "['3 GRAM BOOF BLUNT', '1']",
"822665889728212992": "['@lxcase it's looks dope as hell. 😩', '0']",
"823887370567225345": "['@EvergreenProdCo @TheLoudBank some weed boxes?  YES!', '1']",
"523332533942251522": "['@MollyAnne1972 That's rough.  That's good. I take some seroquel to help me sleep and other mental things.', '0']",
"823740246122725382": "['This wind is fucking with my blunt', '1']",
"823537599998492672": "['How am I gonna blow up in', '0']",
"825546558695436289": "['That 'Work' section is dope https://t.co/DKineNHOCa', '0']",
"817769572161953794": "['I need a Morin blunt to be blunt', '1']",
"822176524514246661": "['barbs the hookup https://t.co/ebtMZW9dTh', '0']",
"821044851802304514": "['THATS OD DOPE! https://t.co/zXNisUvziQ', '0']",
"818155252297977857": "['I need friends, a quad, a blunt, &amp; then an igloo', '1']",
"815719516458000384": "['Craving some hot pot, someone go with me', '0']",
"449817658020474880": "['Just gonna do a bunch of Adderall and go win the iron man race tomorrow. Just something on my bucket list to check off', '1']",
"518965351334559746": "['Gateway Drug: a college student abusing Adderall is 8x as likely to do cocaine.', '0']",
"816292356769062916": "['Start my day with a doobie blunt', '1']",
"825550581146255360": "['@ppringlez WEED HAS ME TRIPPING', '1']",
"825524993320591362": "['She's dope right https://t.co/kMBba1VLtf', '0']",
"825939085575454720": "['this is so dope wow https://t.co/BG0mc7AP90', '0']",
"348743453011763200": "['After 3 months of therapy and a recent restart of quetiapine for the past 2 weeks, I drove 30 km from changanassery to alappuzha .', '0']",
"495104389380448256": "['@Monkau_the_Moo I think you'd get more of a high off the oxycodone :P', '1']",
"461965133133017088": "['“@SirRedBird: @theChelcieP Who needs Adderall when you got the Book of Mormon soundtrack?” Most proverbial thing I've ever heard', '0']",
"822381776358096897": "['Time for some dope food . https://t.co/nQRU1L53t2', '0']",
"474561416372838400": "['I'd like to thank my two best friends, Adderall and Vyvanse, for getting me through another school year 🙌🙌🙌', '0']",
"825923178392350720": "['Amsterdam seems dope', '0']",
"819289607275741184": "['@kingboola I saw those, looks pretty dope', '0']",
"537117115564974081": "['I haven't stayed up passed 12 to study in so long, wheres da Adderall at', '1']",
"820514295528050689": "['Gonna be a red Super bowl! K.c. hotlanta!!! Bank on it!', '1']",
"817541304259411970": "['Smoke out a super leaf. You welcome.', '1']",
"823713155587198976": "['Blunt cut 🤔', '1']",
"825780482843348993": "['@Liizziie_e what a hottie! It's going to be a dope event!', '0']",
"499677432329547776": "['Hmm getting suspended for 4 games for taking adderall vs a 2 game suspension for knocking your fiancé out unconscious. You go Goodell!!', '0']",
"535542993957425152": "['@heatherurehere awareness of MIs, psych med prices got obscenely increased.\n\nMy parent's house costs as much as a year of Seroquel XR.', '0']",
"459379522912006144": "['Blame the Adderall for the excessive amount of tweets', '0']",
"817450407924563968": "['This Chili's boutta smack...', '0']",
"820459872256983040": "['@JoshxMelo was a dope ass car', '0']",
"820842242722000896": "['Smoke weed not cigs', '1']",
"817025419425841154": "['Black rock tonight  for dinner 😍', '0']",
"815517368344461312": "['Had a dope ass birthday', '0']",
"824829413544034310": "['Shut your piehole, I'm dope and I know', '0']",
"818013799236194304": "['Im done smoking this my last blunt', '1']",
"820486416949972993": "['Acid trip 👁', '1']",
"822589970749726722": "['@_FredoGang coke, heroin and sometimes meth...', '1']",
"532778402613194753": "['you probably think that the xo in my bio stands for hugs and kisses well plot twist it actually stands for ecstasy and oxycodone', '1']",
"818177867196473344": "['I want to take some real dope pics 🤔', '0']",
"481243857493831680": "['I was feelin like shit! But then I ate 90mg of oxycodone and a couple bars now I'm feelin groovy #drugs', '0']",
"822707543545782272": "['SPLIT IS DOPE AF..', '0']",
"825512685148200960": "['I just drank a pot of coffee and I'm still sooo tired. wtf is wrong with me ugh', '0']",
"821783759699767296": "['I got a dope swagg #RG', '0']",
"541858163289784320": "['@yonniedepp I'm hip, but that's what my other tweet is about lol took too much adderall', '1']",
"821244138687434752": "['Guess I'll go outside and smoke this black', '1']",
"823544190223138818": "['Do graffiti and sell dope', '0']",
"815710527783575552": "['I'm about to start being so much more blunt.', '0']",
"821108806797185024": "['i am so miserable i just want to smoke a fucking blunt', '1']",
"823595966720864256": "['Me too bruh..hit u a blunt, stay productive n positive and let the man upstairs handle whatever is out of reach https://t.co/iXkXLdc7pn', '1']",
"821429526894874624": "['omg i need a blunt', '1']",
"529833003447746561": "['Damn 2 didn't pass in Fl, but they sell you oxycodone like nothing. Which Medicine has more overdose death! #GetOnWALevelFL', '0']",
"824999162554904576": "['Everyone have a dope Friday and be safe', '0']",
"821079511127261185": "['lifes dope', '0']",
"340530953015402497": "['@ItsMeCreezy I hate to hear that.  Taking seroquel is like swallowing a sleeping pill when u wake up then trying to function normally', '0']",
"819334582621339648": "['Rooftop pools are dope', '1']",
"534582505043931137": "['I can't sleep, damn you adderall an vyvanse. Being on 2 add pills sucks when you look at the clock an realize its almost 1 . 👌 #byesleep', '0']",
"817038047229386752": "['At my wedding we passing a fat blunt', '1']",
